id,name,boss,parter,import,subcorp,invest,risk
16,广汽菲亚特克莱斯勒汽车有限公司,冯兴亚,"企业法人,外国(地区)企业,外国(地区)企业,外国(地区)企业,广州汽车集团股份有限公司,菲亚特克莱斯勒意大利股份公司,菲亚特克莱斯勒汽车股份有限公司,菲亚特克莱斯勒亚太投资有限公司,,,,,,,,","陈道宏,Giovanni Bonadonna,Luca TOGNELLI,李灿辉,郑洁,吴松,黄向东,John Burton,Paul Francis Alcala,冯兴亚,王秋景,MICHAEL MARK MANLEY",,,
17,金杯电工股份有限公司,吴学愚,"企业法人,企业法人,企业法人,企业法人,企业法人,湖南湘能投资股份有限公司,湖南长利电工有限公司,湖南湘能电力股份有限公司,深圳市能翔投资发展有限公司,湖南闽能投资有限公司,,,,,,,,,,","孙文辉,娄国军,林旭,范志宏,杨黎明,吴学愚,刘利文,张贵华,唐崇健,周祖勤,陈海兵,潘四平,唐正国,刘纳新","金杯电工股份有限公司长沙分公司,{{el.name}}{{el.name}},孙文辉,{{el.oper_name}},0.000000,{{el.reg_capi}},2012-01-05,{{el.start_date}}",,
18,长沙远大住宅工业集团有限公司,张剑,"企业法人,自然人股东,企业法人,企业法人,自然人股东,企业法人,合伙企业,企业法人,企业法人,企业法人,企业法人,企业法人,合伙企业,企业法人,企业法人,上海瑞力新兴产业投资基金（有限合伙）,张剑,湖南大正投资股份有限公司,湖南湘锦圣投资有限公司,杨立新,长沙高新开发区大鑫投资管理合伙企业,上海永钧股权投资合伙企业（有限合伙）,上海欣际投资中心（有限合伙）,上海汉麟创业投资企业（有限合伙）,深圳市美投高新技术创业投资有限公司,湖南鼎信日新股权投资管理企业,上海龙腾八方企业发展有限公司,深圳远致富海股权投资企业（有限合伙）,湖南高新汇能创业投资企业,湖南远大铃木住房设备有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","鲍正熙,唐芬,谭新明,张克祥,张明鑫,姚子祥,张剑,黄玉敏,刘景,石东红",,,
19,山河智能装备股份有限公司,何清华,"自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,企业法人,企业法人,自然人股东,自然人股东,企业法人,自然人股东,自然人股东,自然人股东,企业法人,自然人股东,自然人股东,自然人股东,自然人股东,赵宏强,陈欠根,朱建新,王家庆,徐小光,长沙高新技术创业投资管理有限公司,常德市雅特液压有限责任公司,郭勇,龚艳玲,长沙中南升华科技发展有限公司,邓伯禄,周宏兵,陈泽南,上海民晟企业发展有限公司,柏红专,龚进,谢习华,何清华,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","陈欠根,陈刚,王乐平,何毅,何清华,刘爱基,邓宇,唐红,李卫国,夏志宏",,,
20,湖南尔康制药股份有限公司,帅放文,"自然人股东,合伙企业,自然人股东,企业法人,自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,企业法人,合伙企业,自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,帅放文,宁波君润恒远股权投资合伙企业（有限合伙）,唐建伟,湖南帅佳投资股份有限公司,吴庭云,张千改,曹泽雄,杨海明,徐良国,张勇军,贺智华,刘淳,袁彬凯,胡祥主,段斌,刘爱军,北京黑马资产管理有限公司,北京昆吾九鼎医药投资中心（有限合伙）,曹再云,王向峰,聂尔凤,杨式滢,李桂珍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","曹再云,张立程,曹永长,刘嘉,王向峰,胡祥主,张恋,刘成胜,帅友文,刘桂良,帅放文,苏历铭",,,
21,中国铁建重工集团有限公司,刘飞香,"企业法人,中国铁建股份有限公司,,","周海祥,刘飞香,谭光勇,钟吉明,王全生,龚道君,程永亮,李健",,,
22,湖南雅福珠宝首饰有限公司,李喜文,"自然人股东,自然人股东,自然人股东,黄贵华,李喜文,陈国军,330 万人民币-,330 万人民币-,340 万人民币-,330 万人民币2013年5月7日,330 万人民币2013年5月7日,340 万人民币2013年5月7日","黄贵华,陈国军,李喜文",,,
23,湖南稀土新能源材料有限责任公司,樊玉川,"企业法人,企业法人,企业法人,企业法人,企业法人,企业法人,企业法人,企业法人,企业法人,企业法人,湖南新能源创业投资基金企业（有限合伙）,芜湖恒海投资中心（有限合伙）,珠海市丰茂投资有限公司,北京平和顺利投资有限公司,北京大远船运代理有限公司,湖南稀土金属材料研究院,湘潭电机股份有限公司,湖南宝山有色金属矿业有限责任公司,湖南瑞利瑞祺投资合伙企业（有限合伙）,湖南继善高科技有限公司,,,,,,,,,,,,,,,,,,,,","李芳书,钟菁,江长尧,周文,游建辉,王邵潭,张世明,贺丰收,刘宇晖,樊玉川","湖南稀土新能源材料有限责任公司岳阳分公司,{{el.name}}{{el.name}},屈利纯,{{el.oper_name}},0.000000,{{el.reg_capi}},2015-01-15,{{el.start_date}}",,
24,湖南经阁投资控股集团有限公司,马秋良,"自然人股东,自然人股东,张国华,马秋良,5000 万人民币-,1430 万人民币-,12854 万人民币-,3146 万人民币-","马秋良,杨志军,邓建平,周红宇,张帆,马美玉","湖南经阁投资控股集团有限公司望城坡分公司,{{el.name}}{{el.name}},马秋良,{{el.oper_name}},0.000000,{{el.reg_capi}},2012-11-13,{{el.start_date}}",,
25,湖南湘江涂料集团有限公司,许愔,"自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,彭忠晓,沈志伟,陈金华,徐志明,王冰,李天星,夏英强,陈志东,曾君,许愔,唐利君,任利明,谭建新,秦峰,曾兆敏,娄狄恒,刘寿兵,陈象勇,苏平,吴亚运,孟志华,许荣怀,刘军,李国祥,黄黎峰,吴顺安,陈建兵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","秦峰,曾兆敏,王冰,李鑫,许愔,黄黎峰,明显成,谢伟,徐意平,陈象勇,沈志伟,刘艳","湖南湘江涂料集团有限公司湖南造漆厂,湖南湘江涂料集团有限公司南湖分公司,湖南湘江涂料集团有限公司湖南关西汽车漆冷水滩经营部,{{el.name}}{{el.name}},许愔,柳名著,欧阳宏,{{el.oper_name}},0.000000,0.000000,0.000000,{{el.reg_capi}},1998-06-25,1998-04-30,1991-03-11,{{el.start_date}}",,
26,威胜集团有限公司,吉为,"外国(地区)企业,威佳创建有限公司,60000 万人民币-,60000 万人民币-","李正春,吉为,李鸿,曹朝辉,王学信,郑小平,罗玉洁",,,
27,澳优乳业（中国）有限公司,颜卫彬,"外国(地区)企业,企业法人,澳大利亚澳优乳品有限公司,澳优乳品有限公司,250 万人民币-,6613.3832 万人民币-,250 万人民币-,6613.3832 万人民币-","黄先跃,谈宁南,刘玉良,戴智勇,刘跃辉,颜卫彬",,,
