"","X","NEWS_SOURCE","TITLE","REPORT_TIME","side","score","author_new.NEWS_AUTHOR","news_seg"
"34",34,"三一集团有限公司","三一重工股份有限公司副总经理祝文魁在高层对话中发言","2013-11-29 10:48:00",0,NA,"中国路面机械网","三一重工,股份,有限公司,副,总经理,祝文魁,高层,对话,中,发言"
"35",35,"三一集团有限公司","图:三一重工股份有限公司董事长梁稳根在集体采访会上【2】","2012-11-10 20:00:00",0,NA,"中国共产党新闻网","图,三一重工,股份,有限公司,董事长,梁,稳根,集体,采访会,上,2"
"36",36,"三一集团有限公司","梁稳根:三一重工股份有限公司经营情况非常好 不需要裁员","2012-11-10 20:00:00",0,NA,"新华网","梁,稳根,三一重工,股份,有限公司,经营,情况,好,需要,裁员"
"37",37,"三一集团有限公司","三一重工股份有限公司董事长梁稳根","2012-11-10 20:54:00",0,NA,"国际在线","三一重工,股份,有限公司,董事长,梁稳根"
"38",38,"三一集团有限公司","三一重工股份有限公司关于限制性股票授予完成的公告","2013-02-02 01:44:00",0,NA,"和讯","三一重工,股份,有限公司,限制性,股票,授予,完成,公告"
"39",39,"三一集团有限公司","[公告]三一重工:关于三一重工股份有限公司业绩承诺实现情况说明的...","2014-04-29 21:12:00",0,NA,"中国财经信息网","公告,三一重工,三一重工,股份,有限公司,业绩,承诺,实现,情况,说明"
"40",40,"三一集团有限公司","最大金融租赁公司国银70亿元“钟情”三一","2011-05-01 23:15:00",0,NA,"湖南日报","大,金融,租赁,公司,国银70亿,钟情,三一"
"41",41,"三一集团有限公司","三一重工股份有限公司公开发行可转换公司债券预案公告","2014-11-08 00:08:00",0,NA,"和讯","三一重工,股份,有限公司,公开,发行,可,转换,公司,债券,预案,公告"
"42",42,"三一集团有限公司","三一重工股份有限公司关于媒体报道的澄清公告","2015-05-30 02:00:00",0,NA,"新浪财经","三一重工,股份,有限公司,媒体,报道,澄清,公告"
"43",43,"三一集团有限公司","三一重工股份有限公司","2012-04-28 01:00:00",0,NA,"腾讯财经","三一重工,股份,有限公司"
"44",44,"三一集团有限公司","三一持股中联重科:是否冤家携手","2013-06-27 03:00:00",0,NA,"新浪财经","三一,持,股,中联重科,是否,冤家,携手"
"45",45,"三一集团有限公司","三一重工股份有限公司关于召开2013年度股东大会的通知","2014-06-10 03:00:00",0,NA,"和讯","三一重工,股份,有限公司,召开,2013,年度,股东,大会,通知"
"46",46,"三一集团有限公司","三一重工股份有限公司关于召开2013年度股东大会的提示性公告","2014-06-25 02:00:00",0,NA,"凤凰网","三一重工,股份,有限公司,召开,2013,年度,股东,大会,提示性,公告"
"47",47,"三一集团有限公司","久隆财险获批 三一进军保险业","2015-04-14 09:21:00",1,1,"中国路面机械网","获,批三一,进军,保险业"
"48",48,"三一集团有限公司","江苏恒立高压油缸股份有限公司2012年年度报告摘要","2013-03-23 23:05:00",0,NA,"21CN财经","江苏,恒立,高压,油缸,股份,有限公司,2012年,年度,报告,摘要"
"49",49,"三一集团有限公司","三一重工与俄罗斯公司签署价值3200万元采购协议","2013-06-07 10:00:00",0,NA,"和讯科技","三一重工,俄罗斯,公司,签署,价值,3200万,采购,协议"
"50",50,"三一集团有限公司","三一集团关联公司起诉奥巴马 未涉及上市资产","2012-10-05 16:00:00",0,NA,"腾讯财经","三一,集团,关联,公司,起诉,奥巴马,涉及,上市,资产"
"51",51,"三一集团有限公司","三一重工股份有限公司2013年度股东大会决议公告","2014-07-01 02:38:00",0,NA,"网易财经","三一重工,股份,有限公司,2013,年度,股东,大会,决议,公告"
"52",52,"三一集团有限公司","长源电力:第七届董事会第四次会议决议--公司2013年第三季度报告","2013-10-28 20:11:00",0,NA,"同花顺金融网","长源,电力,第七,董事会,第四,会议,决议,公司,2013年,第三,季度,报告"
"53",53,"三一集团有限公司","三一重工股份有限公司2014年年度股东大会决议公告","2015-05-28 01:00:00",0,NA,"搜狐证券","三一重工,股份,有限公司,2014年,年度,股东,大会,决议,公告"
"54",54,"三一集团有限公司","三一集团携手SAP战略合作媒体采访实录","2014-11-05 15:45:00",0,NA,"工程机械在线","三一,集团,携手,SAP,战略,合作,媒体,采访,实录"
"55",55,"三一集团有限公司","三一集团7人入选2011福布斯中国富豪榜","2011-09-08 10:42:00",1,7,"网易财经","三一,集团,7,人,入选,2011福布斯,中国,富豪榜"
"56",56,"三一集团有限公司","三一重工子公司起诉奥巴马政府获胜诉","2014-07-16 08:00:00",0,NA,"凤凰网","三一重工,子公司,起诉,奥巴马,政府,获胜,诉"
"57",57,"三一集团有限公司","三一重工股份有限公司2014半年度报告摘要","2014-08-30 02:00:00",0,NA,"凤凰网","三一重工,股份,有限公司,2014,半,年度,报告,摘要"
"58",58,"三一集团有限公司","中国三一集团在柬埔寨设立总代理商","2012-07-16 21:03:00",0,NA,"新华网","中国,三一,集团,柬埔寨,设立,总代理商"
"59",59,"三一集团有限公司","三一重工股份有限公司关于媒体报道的澄清公告","2015-05-26 03:00:00",0,NA,"新浪财经","三一重工,股份,有限公司,媒体,报道,澄清,公告"
"60",60,"三一集团有限公司","三一重工关联公司起诉奥巴马选择性执法","2012-10-06 01:00:00",0,NA,"新浪新闻","三一重工,关联,公司,起诉,奥巴马,选择性,执法"
"61",61,"三一集团有限公司","今年上半年昆山三一重机盈利居集团首位","2014-07-21 16:39:00",0,NA,"江苏新闻网","今年,上半年,昆山,三一重机,盈利,居,集团,首"
"62",62,"三一集团有限公司","广州港股份有限公司黄埔港务分公司2台集装箱正面吊运起重机采购...","2014-05-29 09:25:00",1,3,"中国起重机械网","广州港,股份,有限公司,黄埔,港务,分公司,2,集装箱,吊运,起重机,采购"
"63",63,"三一集团有限公司","三一集团与IBM战略合作推进流程变革","2014-11-26 18:00:00",1,7,"中证网","三一,集团,IBM,战略,合作,推进,流程,变革"
"64",64,"三一集团有限公司","向文波“拥抱”马云马化腾王亚伟!三一集团筹建久隆财险","2015-04-03 19:00:00",1,7,"澎湃新闻","文波,拥抱,马,云,马,化腾,王亚伟 三一,集团,筹建,久隆,财险"
"65",65,"三一集团有限公司","三一重工近日股价走势","2011-04-20 08:25:00",0,NA,"中国经济网","三一重工,近日,股价,走势"
"66",66,"三一集团有限公司","三一集团进军保险业 15家公司筹建久隆财险获批","2015-04-10 10:46:00",1,1,"华夏经纬网","三一,集团,进军,保险业,15,公司,筹建,久隆,财险,获,批"
"67",67,"三一集团有限公司","三一重工:2014年年度报告","2015-04-20 21:30:00",0,NA,"凤凰网","三一重工,2014年,年度,报告"
"68",68,"三一集团有限公司","三一集团国内五大产业基地分布情况分析","2012-12-25 17:20:00",0,NA,"第一工程机械网","三一,集团,国内,五,大,产业,基地,分布,情况,分析"
"69",69,"三一集团有限公司","三一汽车金融有限公司成立","2011-01-25 13:00:00",0,NA,"中国商用汽车网","三一,汽车,金融,有限公司,成立"
"70",70,"三一集团有限公司","驻阿联酋大使常华会见三一集团总裁唐修国","2015-03-11 00:00:00",0,NA,"中国工程机械商贸网","驻,阿联酋,大使,常华,会见,三一,集团,总裁,唐修国"
"71",71,"三一集团有限公司","STCN解读:三一重工集团折价转让4.5亿股 引入朱雀投资、陈发树","2014-12-19 21:11:00",0,NA,"同花顺网","STCN,解读,三一重工,集团,折价,转让,4.5亿,引入,朱雀,投资,陈发树"
"72",72,"三一集团有限公司","三一与中联博弈背后","2015-05-12 10:17:00",0,NA,"同花顺金融服务网","三一,中联,博弈,背后"
"73",73,"三一集团有限公司","从三一集团部署微软SAM 看中国制造业国际竞争力","2013-01-18 20:11:00",0,NA,"cnet科技资讯网","三一,集团,部署,微软,SAM,看,中国,制造业,国际,竞争力"
"74",74,"三一集团有限公司","三一重工拟披露重大事项 公司股票临时停牌","2015-05-25 09:09:00",0,NA,"同花顺金融网","三一重工,拟,披露,重大,事项,公司,股票,临时,停牌"
"75",75,"三一集团有限公司","三一重工股份有限公司公开发行可转换公司债券预案公告","2014-11-08 02:00:00",0,NA,"新浪财经","三一重工,股份,有限公司,公开,发行,可,转换,公司,债券,预案,公告"
"76",76,"三一集团有限公司","三一集团位居湖南民企100强榜首","2014-11-19 09:53:00",1,7,"中国路面机械网","三一,集团,位居,湖南,民企,100,强,榜首"
"77",77,"三一集团有限公司","传中联政府资源远超三一 董事长官二代身份曝光","2012-12-08 00:00:00",0,NA,"腾讯新闻","传,中联,政府,资源,远,超三一,董事,长官,二代,身份,曝光"
"78",78,"三一集团有限公司","三一重工:拟收购湖南三一快而居住宅工业有限公司股权项目评估报告","2014-11-08 00:00:00",0,NA,"凤凰网","三一重工,拟,收购,湖南,快,居,住宅,工业,有限公司,股权,项目,评估,报告"
"79",79,"三一集团有限公司","湖南首家民营银行破壳 三一集团拟投5.4亿参股三湘银行","2014-12-05 02:59:00",0,NA,"和讯网","湖南,首,民营,银行,破壳三一,集团,拟,投,5.4亿,参股,三,湘,银行"
"80",80,"三一集团有限公司","三一重工股份有限公司关于回购注销部分限制性股票通知债权人的公告","2015-07-17 01:00:00",0,NA,"新浪财经","三一重工,股份,有限公司,回购,注销,部分,限制性,股票,通知,债权人,公告"
"81",81,"三一集团有限公司","三一重工股份有限公司公告(系列)","2011-07-27 03:00:00",0,NA,"凤凰网","三一重工,股份,有限公司,公告,系列"
"82",82,"三一集团有限公司","董事独董数目与公司条例相违背 三一涉嫌违规","2013-07-04 08:00:00",2,7,"搜狐财经","董事,独董,数目,公司,条例,违背,三一,涉嫌,违规"
"83",83,"三一集团有限公司","三一重工股份有限公司关于维护公司股价稳定方案的公告","2015-07-11 07:00:00",0,NA,"搜狐证券","三一重工,股份,有限公司,维护,公司,股价,稳定,方案,公告"
"84",84,"三一集团有限公司","住建部正式批准三一集团为国家住宅产业化基地","2015-04-03 16:00:00",0,NA,"慧聪网","住建部,正式,批准,三一,集团,国家,住宅,产业化,基地"
"85",85,"三一集团有限公司","三一集团有限公司简介","2009-07-14 12:00:00",0,NA,"人民网财经频道","三一,集团,有限公司,简介"
"86",86,"三一集团有限公司","三一重工股份有限公司控股股东三一集团有限公司及其一致行动人...","2010-06-30 01:28:00",0,NA,"网易财经","三一重工,股份,有限公司,控股,股东,三一,集团,有限公司,一致,行动,人"
"87",87,"三一集团有限公司","三一集团与中国庆华强强携手 战略合作","2014-05-16 19:00:00",0,NA,"慧聪网","三一,集团,中国,庆华,强强,携手,战略,合作"
"88",88,"三一集团有限公司","国电长源电力股份有限公司2014半年度报告摘要 -中国基金报多媒体...","2014-08-22 03:00:00",0,NA,"新浪财经","国电,长源,电力,股份,有限公司,2014,半,年度,报告,摘要,中国,基金,报,多媒体"
"89",89,"三一集团有限公司","三一重工股份有限公司第五届董事会第十一次会议决议公告","2014-09-11 02:25:00",0,NA,"网易财经","三一重工,股份,有限公司,第五,董事会,第十一,会议,决议,公告"
"90",90,"三一集团有限公司","三一重工关于大股东及其一致行动人和公司高管增持公司股份的公告","2015-07-29 08:00:00",0,NA,"慧聪网","三一重工,大,股东,一致,行动,人,公司,增,持,公司,股份,公告"
"91",91,"三一集团有限公司","三一重工股份有限公司重大事项停牌公告","2014-08-05 02:00:00",0,NA,"和讯","三一重工,股份,有限公司,重大,事项,停牌,公告"
"92",92,"三一集团有限公司","三一集团涉足能源领域 成立能源重工有限公司","2011-08-03 08:21:00",0,NA,"中国起重机械网","三一,集团,涉足,能源,领域,成立,能源,重工,有限公司"
"93",93,"三一集团有限公司","三一重工股份有限公司","2015-04-21 10:00:00",0,NA,"搜狐证券","三一重工,股份,有限公司"
"94",94,"三一集团有限公司","三一重工股份有限公司声明","2013-06-13 07:00:00",0,NA,"凤凰网","三一重工,股份,有限公司,声明"
"95",95,"三一集团有限公司","三一重工股份有限公司","2015-04-21 05:00:00",0,NA,"新浪财经","三一重工,股份,有限公司"
"96",96,"三一集团有限公司","三一重工股份有限公司重大经营合同的公告","2014-12-25 00:08:00",0,NA,"搜狐证券","三一重工,股份,有限公司,重大,经营,合同,公告"
"97",97,"三一集团有限公司","三一重工集团考察团莅临宿城区考察","2014-10-10 10:05:00",0,NA,"西楚网","三一,重工,集团,考察团,莅临,宿城区,考察"
"98",98,"三一集团有限公司","寒冬中的转型 三一重工卖手机可行吗?","2015-06-02 15:00:00",0,NA,"东方财富网","寒冬,中,转型,三一重工,卖,手机,可行"
"99",99,"三一集团有限公司","三一重工股份有限公司2013年度报告摘要","2014-04-30 07:00:00",0,NA,"凤凰网","三一重工,股份,有限公司,2013,年度,报告,摘要"
"100",100,"三一集团有限公司","三一重工股份有限公司简式权益变动报告书","2010-01-06 01:00:00",2,5,"腾讯财经","三一重工,股份,有限公司,简式,权益,变动,报告书"
"101",101,"三一集团有限公司","三一重工股份有限公司","2015-04-22 07:00:00",0,NA,"搜狐证券","三一重工,股份,有限公司"
"102",102,"三一集团有限公司","强强联合 三一集团与德国内梅切克集团签约","2014-11-27 21:00:00",0,NA,"第一工程机械网","强,强,联合,三一,集团,德国,内梅切克,集团,签约"
"103",103,"三一集团有限公司","三一重工股份有限公司2014年度利润分配实施公告","2015-06-05 02:00:00",0,NA,"新浪财经","三一重工,股份,有限公司,2014,年度,利润,分配,实施,公告"
"104",104,"三一集团有限公司","企业介绍:三一重工股份有限公司","2013-09-06 15:15:00",0,NA,"大公网","企业,介绍,三一重工,股份,有限公司"
